,work_year,full_time_employee,salary_in_usd,US_resident,remote_ratio,US_location,Entry_Exp,Expert_Exp,Mid_Exp, Senior_Exp,Data Analyst,Data Engineer,Data Scientist,Machine Learning Engineer,USD,EUR,GBP,INR,Other_Currency,Large_Company,Midsize_Company,Small_Company
255,2022,1,180000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
256,2022,1,80000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
257,2022,1,105000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
258,2022,0,54957,0,50,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
259,2022,1,120000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
260,2022,1,100000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
261,2022,1,324000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
262,2022,1,216000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
263,2022,1,210000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
264,2022,1,58035,0,100,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
265,2022,1,115000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
266,2022,1,65000,1,100,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
267,2022,1,68147,0,100,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
268,2022,1,155000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
269,2022,1,206699,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
270,2022,1,99100,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
271,2022,1,130000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
272,2022,1,115000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
273,2022,1,110500,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
274,2022,1,130000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
275,2022,1,160000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
276,2022,1,200100,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
277,2022,1,160000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
278,2022,1,145000,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
